complex_text,word_count,char_count,simplified_text,baseline_text,lora_text,cosine_similarity
"Notice that the head shake occurs over that part of the phrase in which she refers to her own opinion. This suggests that the head shake here expresses an additional part of her reply, which here seems to be: ‘I do not know the answer to your question.’ Translating everything into words her reply would be thus, ‘Well I do not know what they would like, we must ask them ﬁrst before we decide to try to repair it.’ Example IV.2 is a similar case. In a discussion in OCC, a recording of a meeting of a Cricket Club Committee in a small Northamptonshire town, the issue is what the Club should do regarding security for its new building. The Chairman takes the view that the Police would be the best people to advise them:",135,721,"When the person shakes her head, it's over the part of the phrase where she talks about her own opinion. This means the head shake might be saying something extra, like ""I don't know the answer to your question."" If we translate her whole reply into words, it would be: ""I don't know what they want, we should ask them first before we try to fix it.""

In another example, a group of people were discussing what to do about security for their new building. The person in charge thought the police would be the best people to ask for advice.","The head shake occurs over that part of the phrase in which she refers to her own opinion. This suggests that the head shake here expresses an additional part of her reply, which here seems to be: ‘Well I do not know the answer to your question.’ Translating everything into words her reply would be thus: ‘Well I do not know what they would like, we must ask them first before we decide to try to repair it.’ Example IV.2 is a similar case. In a recording of a meeting of a Cricket Club Committee in a small Northamptonshire town, the issue is what the Club should do regarding security for its new building. The Chairman takes the view that the Police would be the best people to advise them:",'I do not know the answer to your question',0.38328642
"In our study, we focus exclusively on local scope configurations and are not concerned with how long-distance-scope readings of indefinites are derived. If indefinites in principle have quantificational readings, these should certainly be available to the indefinites in . We now consider the consequences of this possibility for our proposal.",50,343,"We're only looking at a specific type of sentence structure in our study. We're not trying to figure out how sentences with words that refer to a specific thing work. If words that refer to a general thing can also refer to a specific thing, then that's something we need to think about. Let's see what this means for our idea.","In our study, we focus exclusively on local scope configurations and are not concerned with how long-distance-scope readings of indefinites are derived. If indefinites in principle have quantificational readings, these should certainly be available to the indefinites in .",Indefinites should have quantificational readings.,0.7228471
"Example I.3 is again taken from the recording of the parochial gathering. Here AK (who is also the camera operator) has been having a short conversation with one of the girls (E, who is about thirteen years old) about her house. She has been describing the contents of her own bedroom and AK asks if she has a TV in her own bedroom. She replies with a head shake to say ‘no’ but immediately goes on to say where, in her house, TV sets are to be found.",88,451,"AK was talking to a 13-year-old girl named E. They were discussing E's house. E was telling AK about what's in her bedroom. AK asked if E has a TV in her bedroom. E shook her head to say no, but then told AK where the TVs are in her house.",An example of a parochial gathering is shown in Example I.3.,rewrite for a 10-12 year old:,0.067038804
"a The YES and NO responses correspond to the truth value of the sentence in the context of the test picture (figure 1 for odin, figures 2 and 3 for dva).",31,153,"The ""YES"" and ""NO"" answers match the true or false value of the sentence in the context of the test picture (see Figure 1 for Odin, Figures 2 and 3 for DVA).",Odin is a type of odin. It is the most common form of odin. It is the most common form of odin.,YES,0.21717976
"with Ionin’s position and argues that Russian is just like English, both surface scope and inverse scope readings being possible and derived by covert QR. Bailyn notes that frozen scope clearly does not hold for SVO sentences, which are ambiguous for many speakers, but does appear to hold for OVS sentences.",51,308,"Russian is similar to English in some ways. Both languages can have two different meanings for the same sentence. This is because of a special rule in the language that helps us understand what the sentence means. 

Some people find it hard to understand sentences with a certain word order, but others don't. This is because the word order can change how we understand the sentence.","Russian is just like English, both surface scope and inverse scope readings being possible and derived by covert QR. Bailyn notes that frozen scope clearly does not hold for SVO sentences, which are ambiguous for many speakers, but does appear to hold for OVS sentences.","Bailyn notes that frozen scope clearly does not hold for SVO sentences, which are ambiguous for many speakers, but does appear to hold for OVS sentences.",0.7227806
"10See a. o. Ward and Hirschberg ; Pierrehumbert and Steele ; Hirschberg and Ward ; examples from Bolinger and Jackendoﬀ. 11From Ladd . I notate the ﬁnal R at the end of sentence here, indicating that it is not part of the pitch accent on the prominent word— all in ; see Hara , Oshima and Tomioka for Japanese 13O’Connor and Arnold , Ladd , examples (16) and (19).",69,364,"Some researchers, like Ward and Hirschberg, and others, like Pierrehumbert and Steele, have studied how we say words. They looked at examples from other researchers, like Bolinger and Jackendo. 

When we say a sentence, the last letter ""R"" is not part of the important sound in the sentence. This is like what happens in Japanese, as shown by Hara, Oshima, and Tomioka. Other researchers, like O'Connor and Arnold, and Ladd, have also studied this.","The final R of a word is not part of the pitch accent on the prominent word—all in ; see Hara, O’Connor and Arnold, Ladd, examples (16) and (19).",rewrite for a 10-12 year old,-0.060574524
"‘The apples, I haven’t seen then.’ b. Bagels, John likes. c. (Tell me about the dog!) ano that inu-wa dog-wa kinoo yesterday kooen-de park-at John-o John-acc kande-simatta bite-ended.up (Japanese)",29,196,"a. I haven't seen the apples.
b. John likes bagels.
c. Tell me about the dog!",A dog bite-ended a bite-end.,b.,0.15789779
"8 The results of the Baseline-one and Focus-one versions are also reported in Ionin and Luchkina 2015, 2017, where they are compared with other versions that involve different manipulations. The results of the Baseline-two and Focustwo versions have not previously been reported.",42,279,The results from our first two versions are also found in a study by Ionin and Luchkina from 2015 and 2017. They compared these results with other versions that changed things in different ways. The results from our second two versions have not been shared before.,"The results of the Baseline-one and Focus-two versions are also reported in Ionin and Luchkina 2015, 2017, where they are compared with other versions that involve different manipulations. The results of the Baseline-two and Focus-two versions have not previously been reported.",for a 10-12 year old: 8,0.2112622
"4 An alternative approach would be to posit a direct link between contrastive focus and reconstruction that follows from the semantics of contrastive focus. This approach is pursued by Bu¨ring to explain the relationship between scope and focus in the German equivalent of sentences like /ALL politicians are NOT corrupt, which are analyzed as topic/focus structures . Bu¨ring’s analysis is specifically about the contrastive topic-focus configuration; when only the preverbal QP is in focus (the German equivalent of ALL politicians are not corrupt), according to Bu¨ring the surface scope reading is freely available, even preferred. Bu¨ring’s analysis would hence not predict the unavailability of the surface scope reading for the sentence type we are considering here. Developing a link between reconstruction and the semantics of contrastive focus is beyond the scope of this article.",134,891,"4 Another way to think about it is to connect the idea of contrastive focus with how we understand sentences. This idea is explored by Bu¨ring to explain how scope and focus work together in German sentences like ""All politicians are not corrupt"". Bu¨ring's study focuses on the way the topic and focus work together in these sentences. When only the first part of the sentence is in focus (like ""All politicians are not""), Bu¨ring says that we can easily understand the sentence in a way that makes sense, and it's even the best way to understand it. Bu¨ring's ideas wouldn't predict that we can't understand the sentence in a certain way.",An alternative approach would be to posit a direct link between contrastive focus and reconstruction that follows from the semantics of contrastive focus.,Rewrite for a 10-12 year old:,0.065260515
"7 We conducted several additional studies with the goal of generalizing our findings beyond odin: these include one study in which we tested scope with po krajnej mere odin ‘at least one’, which is less likely to have a specific interpretation than plain odin ‘one’; and another in which we examined the effect of contrastive focus on the universal quantifier kaÅdyj ‘every’. The results of these studies are reported in Ionin and Luchkina 2017 and largely provide data that converge with the studies reported here.",85,515,"We did some more research to see if our results would be the same in different situations. We tested ""at least one"" and ""every"" to see how they work in different contexts. The results of these studies are similar to the ones we already found, and they support our previous discoveries.","We conducted several additional studies with the goal of generalizing our findings beyond odin: these include one study in which we tested scope with po krajnej mere odin ‘at least one’, which is less likely to have a specific interpretation than plain odin ‘one’; and another in which we examined the effect of contrastive focus on the universal quantifier kadyj ‘every’.",rewrite for a 10-12 year old: 7,-0.002040599
"We further observe that, to the best of our knowledge, the difference between SVO and OVS orders when it comes to the effects of contrastive focus is something never before noted in the literature on Russian scope. We have reason to believe that this difference would not be revealed via introspection and informal judgments. Our data show that there is quite a bit of variability in speakers’ judgments, and if a researcher relied only on introspection and on gathering informal judgments, it is not clear whether any definitive conclusion could be reached. However, with controlled testing and statistical analysis, the SVO/OVS asymmetry with regard to contrastive focus has proven to be quite robust and has held up across different versions of our test. To conclude, we see this article as a first step in an experimental investigation of how information structure, prosody, and processing preferences influence quantifier scope crosslinguistically.",149,953,"We noticed something new and interesting about how people speak Russian. We think that if we just asked people what they thought, we wouldn't get a clear answer. That's because people have different opinions, and it's hard to know what's really true. But when we did a special test to see what people really think, we found that some things are true and some are not. This is important because it helps us understand how people speak and how we can learn more about it.",The difference between SVO and OVS orders when it comes to the effects of contrastive focus is something never before noted in the literature on Russian scope.,The SVO/OVS asymmetry with regard to contrastive focus is robust and has held up across different versions of our test.,0.56121624
"He begins his response with a head shake which continues over ‘Eh sulë — Eh only’ — again, with this ‘only’ there is the implication of ‘nothing else’ or some other expression that indicates that he cannot think of any other recipes. Example V.3 illustrates the use of the head shake in conjunction with an expression such as ‘I could do X, but I will do Y’ — where the implication is, of course, ‘I will not do X’. This example is taken from a recording made near Salerno of a family dinner. R has been complaining about a diﬃculty a colleague has caused her at her work, regarding a lock on a cupboard. G suggests that she could on her own get the lock changed, but R replies that she would rather confront the colleague about it directly:",139,741,"He starts by shaking his head and saying ""Eh sulë — Eh only"". This means that he can't think of any other solutions. It's like saying ""I could do this, but I will do that instead"" - which means ""I won't do this"". This is from a recording of a family dinner near Salerno. R was talking about a problem at work with a colleague who had locked a cupboard. G suggested that R could change the lock herself, but R said she would rather talk to the colleague about it directly.",A head shake is a gesture that indicates that the head of a person is moving in a certain direction.,G suggests that she should be able to get the lock changed.,0.24963269
"We start with the pairwise comparisons for odin indefinites in table 4. Note the following points. First, when word order and the first quantifier are held constant (rows 1–4), prosody affects only one of the four conditions, increasing the rate of YES responses for OVS order with an indefinite in preverbal position (15b) (row 2). Second, when both the first quantifier and prosody are held constant (rows 5–8), word order has a significant effect in only one condition:",78,472,"We're going to look at some special sentences with words like ""someone"" or ""something"". Let's check some points. First, when we keep the same word order and the first word the same (rows 1-4), the way we say the sentence affects only one of the four ways we can say it. It makes people more likely to say ""yes"" when the sentence starts with ""someone"" or ""something"" (row 2). Second, when we keep the same first word and the way we say the sentence the same (rows 5-8), the word order has a big effect on only one way we can say it:","We start with the pairwise comparisons for odin indefinites in table 4. First, word order affects only one of the four conditions, increasing the rate of YES responses for OVS order with an indefinite in preverbal position (15b) (row 2). Second, word order has a significant effect in only one condition:","Prosody affects only one of the four conditions, increasing the rate of YES responses for OVS order with an indefinite in preverbal position (15b).",0.6039325
"A thorough look at descriptions of topic markings in various languages reveals that diﬀerences like these abound, making it impossible to talk about properties of ‘topics’ in general. An investigation of a suspected topic-marking in a given language should therefore start, not by assuming that, since it is a topic, it has a particular cluster of properties, but by establishing their exact speciﬁc properties independently, among them. . .",69,441,"When we look at how different languages use topic markings, we see that each language is unique. This makes it hard to talk about what all topic markings have in common. 

When we study a topic marking in a specific language, we shouldn't start by assuming it has certain characteristics just because it's a topic marking. Instead, we should start by learning exactly what it does and how it works.","A thorough look at descriptions of topic markings in various languages reveals that differences like these abound, making it impossible to talk about properties of ‘topics’ in general. An investigation of a suspected topic-marking in a given language should therefore start, not by assuming that, since it is a topic, it has a particular cluster of properties, but by establishing their exact specific properties independently, among them.","A thorough look at descriptions of topic markings in various languages reveals that differences like these abound, making it impossible to talk about properties of ‘topics’ in general",0.8795961
"In this article, we examine what factors influence scope interpretation in Russian, a case-marking, free-word-order language. We focus on the Russian equivalents of the English simple transitive sentences in (1a) and (2a), with quantifiers in subject and object positions.",39,272,"What makes it hard to understand Russian sentences? 

In this article, we look at what makes it tricky to figure out what's happening in a Russian sentence. We're going to focus on simple sentences in English that have a doer and something that gets done, like ""John kicks the ball"".","The Russian equivalents of the English simple transitive sentences in (1a) and (2a) are based on a case-marking, free-word-order language.","The Russian equivalents of the English simple transitive sentences in (1a) and (2a) are a case-marking, free-word-order language, with quantifiers in subject and object positions.",0.8055685
"Pierrehumbert, Janet B. and Shirley A. Steele . “How many risefall-rise contours?” In Proceedings of the 11th International Congress of Phonetic Sciences. Tallinn.",23,163,"How Many Types of Voice Rise-Fall-Rise Contours Are There?

There are different ways to say words with a special sound, like ""oh"" or ""ah"".",“How many risefall-rise contours?” In Proceedings of the 11th International Congress of Phonetic Sciences. Tallinn.,"rewrite for a 10-12 year old: Pierrehumbert, Janet B. and Shirley A. Steele.",0.38063538
"Here Sandro does a head shake before speaking in response to Giovanni’s last question. In this case, it seems, this head shake is a ‘no’ in response to G’s question. S replies, that is, that N did not have another number. He then immediately goes on to say what number he does have.",53,282,"Sandro shakes his head before answering Giovanni's question. This means ""no"" to Giovanni's question. Sandro is saying that N didn't have another number. Then, he tells us what number he does have.",A head shake is a sign that a number is not a number. It is a sign that the number is not a number.,N has a number.,0.48564917
"Bailyn argues that rightward extraposition of the subject is theoretically problematic under current syntactic theories, and he proposes yet another derivation of OVS sentences, which requires neither verb movement to T nor right-extraposition of the subject. This account involves (a) fronting of the object within the VP, as in (10a); and (b) movement of the entire VP that contains the fronted object to Spec,TP, while the subject stays in situ, as in (10b).",73,461,"Bailyn says that when we put the subject at the end of a sentence, it's hard to understand using current rules of grammar. He has a new way to explain these kinds of sentences. This way doesn't need the verb to move to a special spot, nor does it need the subject to move to the end of the sentence. Instead, it works like this: 

(a) We move the object to the front of the sentence, like in example (10a). 

(b) Then, we move the whole group of words that includes the fronted object to a special spot, while the subject stays in its original place, like in example (10b).","Bailyn argues that rightward extraposition of the subject is theoretically problematic under current syntactic theories, and he proposes yet another derivation of OVS sentences, which requires neither verb movement to T nor right-extraposition of the subject.",rewrite for a 10-12 year old,0.069896966
"English, even though both contain conflicts between overt 3pl. and covert Isg. verb forms: (9) They are going to Chicago, and I to San Francisco. (10) They are behaving themselves, but not I. Note also the possibility of omitting under ellipsis a VP which, if present, would not be grammatical if it took the form of what is semantically its antecedent: (11) I haven't done it yet, but I will {*done it I do it} soon. This sort of thing is not possible in factorable coordination constructions, as we shall see.",91,511,"English has some tricky rules about verb forms. For example, ""They are going to Chicago, and I to San Francisco."" This sentence has two different ways of saying ""to go"". 

Another example is: ""They are behaving themselves, but not I."" This sentence shows that ""I"" and ""they"" have different ways of saying ""to behave"".

Sometimes, we can leave out parts of a sentence, like a verb phrase, if it doesn't make sense. For instance: ""I haven't done it yet, but I will do it soon."" This sentence is saying that ""I"" will do something, but it's not saying what that something is. 

This kind of thing can't happen in certain types of sentences, and we'll see why that is soon.","English, although both contain conflicts between overt 3pl. and covert Isg. verb forms: (9) They are going to Chicago, and I to San Francisco. (10) They are behaving themselves, but not I. Note also the possibility of omitting under ellipsis a VP which, if present, would not be grammatical if it took the form of what is semantically its antecedent: (11) I haven't done it yet, but I will *done it I do it soon. This sort of thing is not possible in factorable coordination constructions, as we shall see.",Isg.,0.2198108
"In this last section, I will brieﬂy turn to non-contrastive topics, also called thematic topics. Examples of these include e. g. clitic left-dislocation in Romance, preposing in English, or wa-marking in Japanese:23",32,215,"In this part, I'll talk about some other topics that aren't about contrast. These are called thematic topics. For example, in some languages, like Romance languages, we use a special way to show that something is important. In English, we use a special way to show that something is coming before something else. In Japanese, we use a special way to show that something is related to something else.",This text is intended for a 10-12 year old student who wants to learn about non-contrastive topics.,rewrite for a 10-12 year old,0.077038094
"In section 1 above I suggested that the answer in or van Rooij ? I submit that the answer is ‘no’. It would predict that CT and F would generally be symmetrical, since they both introduce alternatives at the same ‘level’, the F-alternatives. But CT and F, while often exchangeable, sometimes are not:",53,300,"The answer is ""no"". This means that CT and F are not always the same. They both introduce choices, but sometimes they are different.","CT and F are symmetrical, since they both introduce alternatives at the same ‘level’.",no,0.14867878
"In this case, R’s second ‘no’ is a repetition of the ﬁrst and the kinesic component is dropped because, in this case, the repetition is an attenuation of the ﬁrst expression rather than a doing of the ‘no’ as a repetition of the full ‘move.’ This is in contrast to what we see in Example II.6 where the repeated ‘no’ is, in each",63,328,"When someone says ""no"" again, it's like they're repeating themselves. They're not really doing something new, but instead, they're just saying ""no"" again. This is different from when someone says ""no"" and then does something else.","repetition of the first expression, a repetition of the first expression.","repetition, a repetition of the first expression.",0.37764126
"A common way of modelling aboutness topics is to break the meaning of sentences with topics into two parts: the referent of the topic marked expression calls the Pragmatic Assertion of a sentence. The discourse context, too, is structured into individuals, and properties that are agreed to hold of them. The standard metaphor for this is a stack of indexed ﬁle cards . For concreteness, associate a context C with a partial function fC from individuals to sets of properties, i. e. a set of of pairs ⟨x, Φ⟩, where x is an individual (or a discourse referent) and Φ is a set of properties. So for any individual i that is part of the context, fC(i) gives us the set of all properties",124,683,"When we try to understand what a sentence is talking about, we can break it down into two parts. The first part is what the sentence is saying about a specific thing, like a person or an object. We call this part the ""pragmatic assertion"" of the sentence.

The context of the sentence is also made up of individual things and the properties that are true about them. A good way to think about this is to imagine a stack of index cards. Each card has a name or a description of something, and it also has a list of characteristics or traits that go with it.

Let's use an example to make this clearer. Imagine we're talking about a specific person, like a friend. We can think of the context as a special list that says what's true about that person. This list would have the person's name, and it would also have a list of things that are true about them, like their favorite food or their favorite hobby. So, if we look at the list for that person, it would show us all the things that are true about them.","A common way of modelling aboutness topics is to break the meaning of sentences with topics into two parts: the referent of the topic marked expression calls the Pragmatic Assertion of a sentence. For concreteness, associate a context C with a partial function fC from individuals to sets of properties, i. e. a set of pairs x, , where x is an individual (or a discourse referent) and  is a set of properties. So for any individual i that is part of the context, fC(i) gives us the set of all properties.",fC(i) gives us the set of all properties.,0.43437886
"Joachim Jacobs, 112–141. Opladen: Westdeutscher Verlag. Hoji, Hajime. 1985. Logical Form constraints and configurational structures in Japanese. Doctoral disserta",19,162,"Joachim Jacobs wrote a book in 112-141. The book is called ""Opladen"" and was published by Westdeutscher Verlag. 

Hoji Hajime wrote a paper in 1985. The paper is about Japanese language. It talks about ""Logical Form constraints"" and ""configurational structures"".",Logical Form Constraints and Configurational Structures in Japanese.,"Hoji, Hajime. 1985. Logical Form constraints and configurational structures in Japanese. Doctoral disserta",0.92345643
"that the referential reading is by no means the only one available to odin/one indefinites; it is just that it is chosen more often for indefinites of this type than for others. Conversely, the referential or choice-function reading is in principle available to dva/two indefinites (which is why they are able to scope out of islands), but the quantificational reading is accessed more readily.",64,394,"The way we read some words is not the only way. We usually read them this way, but not always. For other words, we can read them in a different way. This other way is possible, but we don't use it as much.","Referential or choice-function reading is in principle available to dva/two indefinites (which is why they are able to scope out of islands), but the quantitative reading is accessed more readily.",rewrite for a 10-12 year old,-0.04042519
"Argumente und Skopus. Berlin: Akademie Verlag. Gundel, Jeanette. 1974. The role of topic and comment in linguistic theory. Doctoral dissertation, University",21,156,Topic and Comment in Language. Berlin: Akademie Verlag. Jeanette Gundel wrote a big paper about how we talk. She finished it in 1974.,"The role of topic and comment in linguistic theory. Doctoral dissertation, University of Oxford.","The role of topic and comment in linguistic theory. Doctoral dissertation, University of Oxford.",0.82946134
"The reasons for using dva/two are quite straightforward: to indicate number. By saying that a doctor treated two patients, the speaker is indicating that the doctor is not treating three or four patients. However, this reasoning does not work for odin/one: the singular form of the NP alone, in Russian as well as English, suffices to indicate number. Thus, upon encountering odin/one, a hearer looks for a reason why it was used; one such reason that the hearer may infer is that the odin/one indefinite denotes a specific individual that the speaker has in mind analysis of referentiality, on Kratzer’s analysis of contextually determined choice functions, or on Schwarzschild’s singleton-indefinite approach). No such inference is made with a dva/two indefinite, because indication of number (two rather than three) is already sufficient reason for using dva/two. We emphasize",137,879,"Using dva/two is easy to understand: it shows that something has two things, not three or four. For example, saying a doctor treated two patients means the doctor isn't treating three or four patients. But using odin/one is different. Just saying ""one"" is enough to show that it's one thing, not two or three. When we hear ""one"", we look for a reason why it was used. We might think that ""one"" means a specific person the speaker is talking about. But we don't make that same connection with ""two"", because saying ""two"" already tells us that it's not ""three"" or ""four"".","The reasons for using dva/two are quite straightforward: to indicate number. By saying that a doctor treated two patients, the speaker is indicating that the doctor is not treating three or four patients. However, this reasoning does not work for odin/one: the singular form of the NP alone, in Russian as well as English, suffices to indicate number. Thus, upon encountering odin/one, a hearer looks for a reason why it was used; one such reason that the hearer may infer is that the odin/one indefinite denotes a specific individual that the speaker has in mind analysis of referentiality, on Kratzer’s analysis of contextually determined choice functions, or on Schwarzschild’s singleton-indefinite approach). No such inference is made with a dva/two indefinite, because indication of number (two rather than three) is already sufficient reason for using dva/two.",dva/two is an indefinite form of dva/two.,0.56492627
"A question not addressed so far is whether the F+F structure in (2) is prosodically diﬀerent from the CT+F structure in (4). Or, put diﬀerently, whether prosody can disambiguate the declarative sentence in (8) between a double focus (answering (8a)) and a CT+F structure (answering (8b)):",46,288,"Is the way we say the sentence ""F+F"" different from the way we say the sentence ""CT+F""? Or, in other words, can the way we say a sentence help us understand if it means one thing or another?",The F+F structure in (2) is prosodically different from the CT+F structure in (4).,Prosody may also refer to:,0.39452863
"Focus-two contained dva ‘two’ indefinites.8 The two Baseline versions were recorded with neutral prosody (sentence stress on the rightmost constituent, and no contrastive stress). In the two Focus versions, each target sentence was presented with contrastive stress on the indefinite determiner.9",41,296,"We looked at two versions of a sentence. In one version, the sentence was read in a normal way. In the other version, the sentence was read with extra emphasis on a certain word.","Focus-two contained dva ‘two’ indefinites. In the two Focus versions, each target sentence was presented with contrastive stress on the indefinite determiner.","In Focus, the target sentence was presented with contrastive stress on the indefinite determiner.",0.7757925
