complex_text,word_count,char_count,simplified_text
"Here Sandro does a head shake before speaking in response to Giovanni’s last question. In this case, it seems, this head shake is a ‘no’ in response to G’s question. S replies, that is, that N did not have another number. He then immediately goes on to say what number he does have.",53,282,"Sandro shakes his head before answering Giovanni's question. This means ""no"" to Giovanni's question. Sandro is saying that N didn't have another number. Then, he tells us what number he does have."
"the 38th Meeting of the Chicago Linguistic Society, ed. by Mary Andronis, Erin Debenport, Anne Pycha, and Keiko Yoshimura, 63–78. Chicago: University of Chicago, Chicago Linguistic Society. Bates, Douglas, Martin Ma¨chler, Ben Bolker, and Steve Walker. 2015. Fitting linear mixed-effects models",41,294,"Here is the rewritten text:

The 38th Meeting of the Chicago Linguistic Society had a special section about math and language. The section was edited by four people: Mary, Erin, Anne, and Keiko.

A group of researchers, including Douglas, Martin, Ben, and Steve, wrote a paper about a special kind of math problem. They wanted to figure out how to solve a problem that involves many different groups of things."
"Notice that head shake comes over the ﬁrst phrase ‘Io gioco’ – the speaker asserts ‘I play’ but with the head movement denies it – this denial anticipates the contents of the second phrase, introduced by ‘ma- but’. It is notable that this second phrase, just in association with ‘ma’ also has a negative kinesic expression associated with it – in this case a hand gesture, marked here by <N>, in which an ‘open’ hand is held up in a vertical position, palm facing away from the speaker.4",88,487,"Here's the rewritten text:

When someone says ""I play"" with a head shake, it's like they're saying one thing but doing another. This head shake is important because it hints at what's coming next. The next part, which starts with ""but"", also has a special hand gesture. When someone does this, they hold up an open hand with their palm facing away from them."
"Here we see head shakes (very brief and restricted in amplitude though they are) performed as she says ‘Lo posso — I can do it’ — the head shake here expressing the idea that she will not in fact do it, which becomes clear as soon as she says ‘però’ — when we also get another head shake. Example V.4, this time an English example, shows the head shake in use with the expression ‘obviously.’ If something is ‘obvious’ the implication is that",83,442,"She says ""I can do it"" and shakes her head, meaning she won't really do it. This is clear when she says ""but"" and shakes her head again. Another example is in V.4, where an English speaker uses the head shake with the phrase ""obviously"". When something is obvious, it means that..."
"Here, that over the ﬁrst ‘No,’ V lifts his head to look at P with his head tilted back. He shakes his head over the second ‘no.’ Then, as T with the interlocutor.",33,162,"Here's the rewritten text:

V looks up at P with his head tilted back when he hears ""no"" for the first time. He shakes his head again when he hears ""no"" for the second time. Then, T talks to the person he's with."
"2.3.1 Information Structure and Syntactic Position An important question debated in the literature on Russian word order is whether discourse functions such as topic and focus correspond to particular syntactic positions . “Cartographic” approaches , which include those of King and Dyakonova , posit specific functional categories in the C-domain for Topic and Focus. In contrast, noncartographic approaches, which include those of Bailyn , Junghanns and Zybatow , Sekerina , Pereltsvaig , and Slioussar , among many others, do not posit dedicated Topic or Focus positions. As Bailyn discusses, focused elements can potentially occur anywhere in the sentence, both preverbally and postverbally, while topics can potentially be in the CP- or the vP-domain.",113,756,"2.3.1 Information Structure and Syntactic Position

Some researchers think that the way we structure our sentences is connected to specific places in the sentence. For example, if we want to talk about something important, we might put it at the beginning of the sentence. Others disagree and say that we can put important information anywhere in the sentence.

For example, some researchers say that we can put important information before or after the main verb in the sentence. They also think that we can put the main topic of the sentence in different parts of the sentence, like at the beginning or in the middle."
"Once again it is to be noted here, as we have noted in other examples, the head shake coincides with verb that is qualiﬁed by (in this case) a subsequent adverb ‘forever’ but not with this adverb. This is the verbal expression which gives the implied negation but the head shake coincides with the verbal expression it modiﬁes. Finally, an Italian example. In Example VI.3, LB, the proprietor of a shop that makes terracotta ﬁgures for Neapolitan presepe has been explaining the process by which these ﬁgures are made. She concludes her account by saying ‘they are all made by hand’ and shakes here head as she says this:",109,621,"Here's the rewritten text:

When someone says ""they are all made by hand,"" they might shake their head at the same time. This is because the word ""by hand"" changes the meaning of the sentence. This is similar to other examples we've seen. Here's an example from Italy: A shop owner in Naples makes special figures for a special kind of Christmas display. She explains how she makes these figures and then says ""they are all made by hand"" while shaking her head."
"11 In (15d), if the postverbal indefinite subject is right-dislocated and TP-adjoined (variant 2 in table 2), contrastive focus should cause this subject to reconstruct to Spec,TP or to its base position. However, on the hypothesis that the object QP in (15d) is in a position above the TP, reconstruction of the subject will not change the scope configuration.",59,361,"If an indefinite subject is moved to the end of a sentence and attached to the front of the sentence, a special emphasis can make it move back to its original position or stay at the end. But if the object in this sentence is in a special position above the main part of the sentence, the subject's movement won't change how the sentence is structured."
"VIII. Head shakes used as a speaker comment on speaker’s own speech. The head shake is used as a means by which a speaker can comment on his own utterance, as in self-corrections, or as when the speaker expresses doubt about what he is saying or doubt as to whether he has responded to his interlocutor appropriately. First we cite an example which shows a speaker using a head shake in relation to a self-correction in her speech. The example comes from SMC, in which the participants are describing memories from their childhoods. Here S is recalling where a farm once was, where now there is a housing estate.",109,612,"When someone is talking, they might shake their head to show they're changing what they said or to show they're not sure about what they're saying. This can happen when they correct themselves or when they're not sure if they answered a question correctly. 

For example, let's look at a conversation where people are talking about their childhood memories. One person, S, is talking about where a farm used to be. Now, there's a housing estate there. S is shaking their head to show they're changing what they said."
"Neeleman and Titov propose that, in Russian, long-distance movement of a contrastively focused element across clause boundaries results in obligatory reconstruction for scope, for both objects and subjects of an embedded clause that are fronted to the beginning of the matrix clause. Neeleman and Titov do not consider local scrambling of the kind discussed here, and its relationship to focus. However, we note that local scrambling is fully compatible with contrastive focus: all of the sentences in (3) can felicitously have the preverbal element in contrastive focus, as shown in (11) for (3a–b).",93,600,"Some researchers, Neeleman and Titov, think that in Russian, when a word is moved from one sentence to another, it always needs to be reorganized to make sense. This is true for both the subject and object of a sentence that is moved to the beginning of another sentence. They don't talk about a different way of moving words around, called local scrambling, and how it relates to focusing on certain words. However, we found that local scrambling works well with focusing on certain words. For example, all the sentences in (3) can be said with the word at the beginning being the main point, as shown in (11) for (3a-b)."
"Like focus, a CT relates to alternatives , van Rooij , and Tomioka . In fact, at least Tomioka does not explicitly state anything more about what is done with these alternatives. The idea is that from the mere existence of such non-excluded alternatives, a hearer can deduce that the speaker must ﬁnd these alternatives potentially relevant, and at least possible (otherwise she would have explicitly excluded them, i. e. have used a focus instead).",75,449,"Here's the simplified text:

A CT (a way of talking) is connected to something called ""alternatives"". Tomioka, one of the people who wrote about this, doesn't explain what to do with these alternatives. The idea is that when we hear someone talking, we can figure out that they think these alternatives are important and possible, just because they didn't say they're not important."
"We are grateful to two anonymous reviewers for their insightful comments and suggestions. Thanks to the audiences of WCCFL 32, FASL 23, FASL 24, the University of Chicago Linguistics Colloquium series, and the UIUC Linguistic Seminar series, where parts of this article were presented. This study was funded in part by a University of Illinois Campus Research Board grant to Tania Ionin.",62,387,"We want to say thank you to two people who helped us with our work. They gave us good ideas and suggestions. We also want to thank the people who listened to our ideas at some special talks we gave. We talked at WCCFL 32, FASL 23, FASL 24, the University of Chicago, and the University of Illinois. This project was helped by a special grant from the University of Illinois."
"2.2.1 Deriving SVO Order We start by assuming, following the literature, that in Russian SVO sentences the nominative subject moves to Spec,TP while the object stays inside the VP, as in , a transitive verb is of type e, e, t, while a generalized quantifier is of type e, t, t, which results in a type mismatch between the verb and its object. On standard movement accounts, this type mismatch is resolved via covert movement, with the object QP undergoing short QR to the closest clause-denoting element that dominates it . In the resulting derivation in (5b), the LF position of the object is thus above the trace left by the subject.",112,644,"Here is the rewritten text:

When we look at Russian sentences with a subject, verb, and object, we think that the subject moves to a special spot, while the object stays with the verb. This can cause a problem because the verb and object don't match up. To fix this, the object moves to a new spot, closer to the main part of the sentence. This means that the object's final position is above where the subject used to be."
"English, even though both contain conflicts between overt 3pl. and covert Isg. verb forms: (9) They are going to Chicago, and I to San Francisco. (10) They are behaving themselves, but not I. Note also the possibility of omitting under ellipsis a VP which, if present, would not be grammatical if it took the form of what is semantically its antecedent: (11) I haven't done it yet, but I will {*done it I do it} soon. This sort of thing is not possible in factorable coordination constructions, as we shall see.",91,511,"Here's the simplified text:

English has some tricky rules about verb forms. For example, ""They are going to Chicago, and I to San Francisco."" This sentence has two different ways of saying ""to go"". 

Another example is: ""They are behaving themselves, but not I."" This sentence shows that ""I"" and ""they"" have different ways of saying ""to behave"".

Sometimes, we can leave out parts of a sentence, like a verb phrase, if it doesn't make sense. For instance: ""I haven't done it yet, but I will do it soon."" This sentence is saying that ""I"" will do something, but it's not saying what that something is. 

This kind of thing can't happen in certain types of sentences, and we'll see why that is soon."
"If in Russian the LF and the IS must necessarily match , for whom a topic must be sentence-initial and take widest scope), then on Bobaljik and Wurmbrand’s account Russian is predicted to be a frozen-scope language: the PF should always match the LF (and the IS), in order to avoid a ScoT violation.",54,299,"In Russian, the words that come first in a sentence have to match the main idea of the sentence. This means that the main idea of the sentence has to be the most important part. According to some experts, Russian is a type of language where the main idea of the sentence always comes first. This is because Russian wants to avoid a problem called a ""ScoT violation""."
"Hereitistobenotedthatthereisnoheadshakeinassociationwiththeﬁrstphrase ofthisdiscourse,eventhoughthereisanegativeexpressionhere(‘We’reobviously not experienced…’). The head shakes are seen in the next two phrases. In both cases they are placed in the little pause that follows the ‘ﬁller’ ‘uhm’. Here, with the head shake, the Chairman precedes his verbally expressed recommendation with an expression which we might gloss as ‘we should not act on this independently.’ In Example IV.3 we see how someone, as he asks about something, as he explains what it is he wants to know, by means of a head shake he adds an indication as to why he wants to know it, which is that the information that he",103,691,"Here's the rewritten text:

When the speaker says ""We're obviously not experienced..."", there's no head shake. But in the next two phrases, we see head shakes. They happen right after the speaker says ""uhm"". The Chairman is saying that we shouldn't make a decision on our own. In another example, someone is asking a question and they shake their head to show why they want to know the answer."
"Example III.6 again shows the head shake being performed simultaneously with the discourse the negative expression modiﬁes, rather than with the negative expression itself, but here the structure is somewhat diﬀerent. The speaker, who is giving a guided tour of an historic town in Northamptonshire, is talking about a very old wooden chair which had some ritual importance. The pertinent part of his discourse is structured as a question followed by an answer. His question is ‘Where has the replica of the chair gone to?’ and his answer is: ‘I don’t know.’ Notice the head shake co-occurs with the question, and not with the answer, even though it is only in the latter that we see the verbal expression of a negative.",122,720,"Here's the rewritten text:

A person is giving a tour of an old town in Northamptonshire. They're talking about a very old wooden chair that was important a long time ago. The person asks a question, ""Where did the copy of the chair go?"" and answers, ""I don't know."" Notice that the head shake happens when they ask the question, not when they say ""I don't know"", even though ""I don't know"" is a negative statement."
"and perception. Poster presented at International Conference on Processing Head-Final Structures, Rochester Institute of Technology, Rochester, NY. Hirotani, Masako. 2004. Prosody and LF: Processing of Japanese wh-questions. Doctoral dissertation, Uni",30,251,"Here is the rewritten text:

We learn about how our brains work. We also learn about how we understand language. I talked about this at a big meeting of experts. My name is Masako Hirotani. I wrote a big report on this topic."
"14This half of the rule is also assumed in Wagner , where it is assumed that any additional meaning of RFR follows by Gricean reasoning, instead of being grammatically encoded. 15Constant ).",32,190,"Here's the rewritten text:

This part of the rule is also true. It says that any extra meaning of RFR comes from how people communicate, not from the way words are put together."
"languages, ed. by Cornelia Ebert and Stefan Hinterwimmer, 75–103. Dordrecht: Springer. Ionin, Tania, Cornelia Ebert, and Britta Stolterfoht. 2011. One indefinite scopes out of islands: An experi",27,194,"Languages are a way for people to communicate. 

Sometimes, we use words to talk about things that are not right in front of us. This is called ""scope"". 

Imagine you're talking about a friend who is at the park. You're not at the park, but you're still talking about it. That's scope! 

Now, sometimes we use special words to help us talk about things that are far away. These words are called ""islands"". 

For example, if you're talking about a friend who is at the park, the park is like an ""island"" that's separate from where you are. 

So, when we use scope and islands together, it's like using a special map to help us talk about things that are far away."
"Phonological Resolution of Syntactic Feature Conflict Author, pp. 751-773 Published by: Linguistic Society of America Stable URL: http://www.jstor.org/stable/415171 Accessed: 17/05/2009 16:21",21,191,"When Words Sound the Same but Mean Different Things

Sometimes, words in a sentence can sound the same but have different meanings. This is called a ""syntactic feature conflict."" It's like trying to decide which way to go when two roads have the same name.

Our brains have to figure out which word means what in this situation. This is called ""phonological resolution."" It's like solving a puzzle to understand what's being said.

For example, if someone says ""I'm going to the store,"" we need to decide which ""store"" they mean. Is it the grocery store, the toy store, or the bookstore? We use clues like the context and the person's tone to figure it out.

Phonological resolution is important because it helps us understand each other better. It's like having a special tool to decode the meaning of words."
"Per Hypothesis 1, we predict that in the two Baseline versions, surface scope should be preferred for both SVO and OVS orders: in the context of the test picture, participants should give primarily YES responses for (15c–d) and (16c–d), and primarily NO responses for (15a–b) and (16a–b). Per Hypothesis 2, we predict that in the two versions with contrastive prosody (Focus-one and Focus-two), the fronted focused indefinite in (15a–b) and (16a–b) will undergo reconstruction. For (15c–d) and (16c–d), contrastive focus is not expected to have any effect, since the focused QP is postverbal and already lower in the structure than the preverbal QP.11 The empirical consequences of the reconstruction in (15a–b) and (16a–b) will depend on the alternatives spelled out in tables 1 and 2, as laid out in (17).",130,807,"Here is the rewritten text:

We think that when people look at a picture, they will mostly say ""yes"" to questions (15c-d) and (16c-d), and mostly say ""no"" to questions (15a-b) and (16a-b). This is because the questions are worded in a way that makes sense in the context of the picture.

We also think that when we add a special kind of emphasis to the words in questions (15a-b) and (16a-b), the focused word will move to a different position in the sentence. This won't happen in questions (15c-d) and (16c-d) because the focused word is already in a lower position in the sentence. The results of this will depend on the options listed in tables 1 and 2, as explained in (17)."
"In B¨uring I argued for the following view: Whereas F relates a declarative sentence to alternative propositions, CT+F relates it to alternative questions. In , which derives from a sentence like (4), repeated with information structural marking in (6), the set of F-alternatives, (6a), as well as the set of CT-alternatives, (6b):2",52,332,"Here's the simplified text:

I said that a sentence can be connected to different statements. And I also said that a sentence can be connected to different questions. For example, if we start with a sentence like ""The dog is happy"", we can think of different statements like ""The dog is sad"" or ""The dog is angry"". We can also think of different questions like ""Is the dog happy?"" or ""Is the dog sad?""."
"The same can be observed e.g. in Hungarian : (22) only has the ‘not. . . everybody’ reading, although quantiﬁcational elements in Hungarian usually have a preference for surface scope:",30,184,"In Hungarian, the sentence ""(22) only has one meaning, which is 'not everyone'. Usually, words that describe how much or how many things there are in Hungarian sentences have a different way of working."
"As Bailyn notes, there is also the possibility of a “hybrid” account, in which the object is in Spec,TP, as in (7), but the subject is right-extraposed, as in (8). Since the Spec,TP position is already occupied by the object, the subject does not raise to Spec,TP and is instead right-extraposed to the edge of the VP, as schematized in (9a). As with (8), it is possible to derive inverse scope either via reconstruction of the object (9b) or via covert QR of the subject (9c). We note that the derivation in (9) makes exactly the same predictions for scope interpretation as the one in (8), so data on (im)possible or (dis)preferred scope readings would not be able to tease these two accounts apart. In light of Slioussar’s arguments in favor of the extraposed subject moving through Spec,TP, we adopt (8) rather than (9) here.",145,829,"Here is the rewritten text:

There's another way to look at this. The object can be in a special spot called Spec,TP, but the subject can still move to the end of the sentence. Since the object is already in that special spot, the subject can't move there too. Instead, it moves to the edge of the sentence. This can make it seem like the object is controlling the sentence, but it's really the subject. We can get the same results in two different ways: either by moving the object to the special spot or by moving the subject to the edge of the sentence. The data we collect won't be able to tell these two ways apart. So, we're going to choose the way where the subject moves to the end of the sentence."
"Your use of the JSTOR archive indicates your acceptance of JSTOR's Terms and Conditions of Use, available at http://www.jstor.org/page/info/about/policies/terms.jsp. JSTOR's Terms and Conditions of Use provides, in part, that unless you have obtained prior permission, you may not download an entire issue of a journal or multiple copies of articles, and you may use content in the JSTOR archive only for your personal, non-commercial use.",65,439,"Here is the simplified text:

If you use the JSTOR archive, you agree to follow their rules. You can find these rules at http://www.jstor.org/page/info/about/policies/terms.jsp. These rules say that you can't:

* Download an entire issue of a journal
* Download multiple copies of articles
* Use the content in the JSTOR archive for anything other than personal, non-commercial use"
"Argumente und Skopus. Berlin: Akademie Verlag. Gundel, Jeanette. 1974. The role of topic and comment in linguistic theory. Doctoral dissertation, University",21,156,"Here is the rewritten text:

Topic and Comment in Language. Berlin: Akademie Verlag. Jeanette Gundel wrote a big paper about how we talk. She finished it in 1974."
"Pierrehumbert, Janet B. and Shirley A. Steele . “How many risefall-rise contours?” In Proceedings of the 11th International Congress of Phonetic Sciences. Tallinn.",23,163,"How Many Types of Voice Rise-Fall-Rise Contours Are There?

There are different ways to say words with a special sound, like ""oh"" or ""ah""."
"Primary concord is restricted to a small, lexically stipulated subset of Xhosa adjectives, e.g. -hie 'beautiful' and -ncinane 'small'. Conflict between these primary concord prefixes can cause ungrammaticality:",28,210,"Some special words in the Xhosa language have a limited number of words that can be used with them. For example, the words ""beautiful"" and ""small"" can be used with these special words. But, if you try to use two of these special words together, it won't sound right."
"Abstract This chapter discusses the semantics and pragmatics of contrastive topics vis-`a-vis focus. A semi-formal characterization of its main properties is given, using the techniques of alternative semantics and questions under discussion. This treatment is compared to various analyses proposed in the literature for contrastive topics and arguably related constructions, such as the English rise-fall-rise contour. Finally a brief discussion of non-contrastive topics is provided.",65,485,This chapter is about how we use language to contrast or compare things. We'll look at the special ways we use words and phrases to make these contrasts. We'll also compare our ideas to what other experts have said on this topic.
"Either because of the meaning of focus, or because of the pragmatics of question–answer pairs, focus is interpreted exhaustively (‘❀’ marks a pragmatic inference):",24,163,"Focus is often understood in a very detailed way. This is because of how we use language, especially when we ask and answer questions."
"7 We conducted several additional studies with the goal of generalizing our findings beyond odin: these include one study in which we tested scope with po krajnej mere odin ‘at least one’, which is less likely to have a specific interpretation than plain odin ‘one’; and another in which we examined the effect of contrastive focus on the universal quantifier kaÅdyj ‘every’. The results of these studies are reported in Ionin and Luchkina 2017 and largely provide data that converge with the studies reported here.",85,515,"We did some more research to see if our results would be the same in different situations. We tested ""at least one"" and ""every"" to see how they work in different contexts. The results of these studies are similar to the ones we already found, and they support our previous discoveries."
"and by using the head shake here she implies that her aunt was as old as it is possible to be or that there can be no others who are older. In these ways, then, we can account for the so-called “assessment” head shake in terms of the idea that by using it the speaker can refer to or bring into play one or other of the negatives that are so often implied in extreme evaluations. In this way we can account for why the head shake can serve as an ‘intensiﬁer.’",92,459,"Here's the rewritten text:

When someone shakes their head, it can mean that they think someone is as old as they can get or that there's no one older. This helps us understand why people use head shakes to talk about big differences or extremes. It's like a special way to make their point stronger."
Example V.2 illustrates something very similar. This is taken from a conversation in the heart of the ancient centre of Naples in which an artisan (who makes presepe) is asked to discuss what is involved in being Neapolitan. The interviewer suggests that he describes a typical Neapolitan recipe. He has some diﬃculty in thinking of one:,56,337,"Here's the rewritten text:

A conversation in Naples is like this. An artisan who makes presepe (a special decoration) is asked to talk about what it means to be Neapolitan. The person asking questions suggests that the artisan think of a typical Neapolitan recipe. The artisan has trouble coming up with one."
"6 It is not, of course, impossible to suppose that contrastive focus could lead to covert QR of the focused NP. This would mean that focusing the postverbal indefinite in (3c–d) should lead to covert QR of the indefinite and hence to inverse scope for the sentence. As discussed below, our data show that this does not happen.",58,326,"It's possible that when we focus a word, it could secretly move to a different position in the sentence. This might make the sentence sound like the focused word is more important. But, in our study, we found that this doesn't actually happen."
"IV. Head shakes that add meaning. We pass now to consider examples in which the head shake is employed in the course of an utterance in such a way as to express a meaning in addition to any meaning that is being conveyed in words. This can show itself as an expression of some move in addition to the move already being made by the current utterance (as in making a statement and, in addition, answering a question), or as an expression of the speaker’s attitude toward the contents of the verbal component of his utterance.",96,524,"Head Shakes That Add Meaning

When we talk, we sometimes use head shakes to add extra meaning to what we're saying. This can happen when we're making a statement and also answering a question, or when we're showing how we feel about what we're saying."
"Turning to the examples in (27), here, too, (28a) is crucial, in particular the ‘salient’ bit: In (27b), repeated below, as well as (30b), we are looking for alternatives like ‘I fed x’ which are informative; this holds for any alternative",41,239,"Here's the rewritten text:

When we look at examples 27, we need to pay attention to the important part in 28a. In examples 27b and 30b, we're searching for new phrases like ""I fed x"" that give us useful information. This is true for any new phrase we find."
"Variant 2: Subject in CNO, if reconstruction of YES, by QR of object to a domain, object in situ subject is to Spec,TP, position in the C-domain (6) which yields surface scope above the subject (if reconstruction is to base position, this is identical to variant 1)",47,265,"Here's the rewritten text:

If we take a closer look at the sentence, we can see that the subject (the person or thing doing the action) is moved to a new position. This happens when we use a special phrase called ""Spec,TP"" to describe the subject. This phrase helps us understand where the subject is located in the sentence. In this case, the subject is moved to a position in the ""C-domain"", which is a special area in the sentence where the subject is described. This movement of the subject can change how we understand the sentence, making it seem like the subject is doing the action from a different place."
"Linguistics (FASL) 11: The Amherst Meeting, ed. by Wayles Browne, Ji-Yung Kim, Barbara Partee, and Susan Rothstein, 41–62. Ann Arbor: Michigan Slavic Publications.",23,163,"Here is the rewritten text:

The Amherst Meeting is a book edited by four people: Wayles Browne, Ji-Yung Kim, Barbara Partee, and Susan Rothstein. It has 41-62 pages and was published by Michigan Slavic Publications in Ann Arbor."
"The question that naturally arises is why the referential reading should be more readily available to odin than to dva indefinites. The answer cannot lie in the fact that phonologically reduced odin is often used as a marker of specificity (see section 2.4), given that we see exactly the same difference between odin and dva even when the numeral is contrastively focused. The answer also cannot lie in unavailability of referential readings for higher numerals: if referential readings (whether derived via choice functions or by some other means) are in principle available to indefinites, they should be available to all numeral indefinites to the same extent. We hypothesize that the answer lies in pragmatics, specifically, in the reasons for choosing to use one vs. two.",125,777,"Why is it easier for ""odin"" to be used as a referential reading than for ""dva""? 

It's not because ""odin"" is often used to show that something is specific. We see the same difference between ""odin"" and ""dva"" even when the number is emphasized. 

It's also not because higher numbers can't be used as referential readings. If we can use a number to show that something is specific, we should be able to use any number to do the same. 

We think the answer is that it has to do with how we choose to use one or two."
"2.3.3 Word Order Asymmetries in Scope, and the Relevance of Information Structure It is wellestablished that in some scrambling languages, notably German and Japanese, inverse scope is allowed for scrambled but not for canonical word orders . In their account of scope relations crosslinguistically, Bobaljik and Wurmbrand provide a possible explanation for this asymmetry by proposing the Scope Transparency principle in .",62,423,"Here is the rewritten text:

Some languages, like German and Japanese, have a special rule. In these languages, the order of words can change the meaning of a sentence. But, if we say the sentence in a normal way, the meaning changes. Two experts, Bobaljik and Wurmbrand, tried to explain this rule. They said that the way we say a sentence can affect what we mean."
"(34) (What games are on tonight? Is Brazil playing England? — ) a. No, brazilCT is playing spainF. b. No, englandCT is playing germanyF. c. #No, spainCT is playing germanyF",30,172,"What games are on tonight? Is Brazil playing England?

a. No, Brazil is playing Spain.
b. No, England is playing Germany.
c. No, Spain is playing Germany."
"Here the speaker uses a head shake as he commences the part of his discourse where he gives an estimate of the number of lunches he can serve in a day. What he says here is his guess, it is not a deﬁnitive ﬁgure. This seems clear from his use of the expression ‘we can do’ and also from the brief pause that precedes the ﬁgure that he gives. To benoted, then, is the use of the head shake which, as will be seen, occurs over the ﬁrst segment of the discourse which introduces the guess. The next example is taken from SMC. The discussion has turned to old clocks and A, who is has been asking S and M to tell their reminiscences recalls that she, too, possesses an interesting old clock that was made in the town where S and C had grown up. She tries to give the date of its manufacture:",155,787,"Here's the simplified text:

When the speaker starts talking about how many lunches he can serve in a day, he shakes his head. This shows that he's just guessing, not giving a exact number. He says ""we can do"" and pauses for a second before giving his guess. This is important to know because it helps us understand what he's saying. 

Next, the speaker talks about old clocks. A person, A, remembers that she has an old clock too. It was made in the same town where S and C grew up. She tries to remember when it was made."
"' These data are from Kayne , where they are taken to involve phonological conditioning on a rule of Auxiliary Deletion. According to Kayne, 'this syntactic rule must be sensitive to whether there is any difference in phonological representation between the two case forms of the pronoun in question. This means that linguistic theory must countenance syntactic rules having the power to refer to phonological information' (102). The conclusion follows only if forms like nous are, incorrectly, treated as ambiguous as between acc. and dat.",85,540,"Here is the rewritten text:

These data are from a study by Kayne. They show how a rule of Auxiliary Deletion is affected by phonological conditioning. According to Kayne, this rule must be able to tell the difference between two forms of a pronoun, like ""us"" and ""to us"". This means that our understanding of language rules must include rules that use information about how words sound."
"this case a noun) and it does not wait for the verbal expression of the negative. This example is again taken from OMUS, a recording of a meeting of the management committee of a small museum, when the discussion is concerned with an artefact that may have got damaged while it was on exhibition:",54,296,"Here is the rewritten text:

In this situation, a noun is used, and it doesn't wait for the verb to say ""no"". For example, let's look at a recording of a meeting where a small museum's management team is talking about an artifact that might have gotten damaged while it was on display."
"In Russian, both . For readability, we use the passive voice to translate the OVS sentences into English, in order to indicate that the object comes first, but we note that the corresponding Russian sentences are in the active voice.",40,233,"In Russian, some sentences have the object first. To make it easier to read, we translate these sentences into English using the passive voice. This means the object comes first, but we note that the original Russian sentence is in the active voice."
"Krifka, Manfred . “Additive particles under stress.” In Devon Strolovich and Aaron Lawson, eds., Proceedings of Semantics and Linguistic Theory (SALT) 8, 111–128. Ithaca, NY: CLC Publications.",27,192,"Additive particles are special words that help us understand how to use other words in a sentence. 

When we speak, we often use these words to make our sentences stronger. 

For example, we might say ""I'm going to the store"" or ""I'm going to the store again"". The word ""again"" helps us understand that we're talking about something that happened before. 

In this paper, the author, Manfred Krifka, is studying how these special words work. He's looking at how we use them to make our sentences stronger."
"(28a) states that there are alternatives in the focus value which are independent of the assertion of SRFR (as well as the Common Ground). It should be transparent that that derives the scope disambiguation eﬀects, as well as cases of wholesale infelicity in case the assertion of SRFR entails or contradicts all its alternatives:",54,330,There are other options for the focus value that don't depend on the idea of SRFR (or the Common Ground). This means that the scope disambiguation effects and cases of wholesale infelicity can happen if the idea of SRFR is true or false.
"For some of the syntactic feature conflicts we examine (as we shall see in later sections), there are speakers with principled resolution in favor of the conjunct nearest the factor; for these speakers, resolution by principle will mask the effects of other sorts of resolution. Other speakers have different principles for resolution in certain situations-e.g. resolving the conflict in 5 in favor of 3rd person and plural number. For them, 5 is acceptable with are, but not with am or is: Either they or I are going to have to go. Again, principled resolution will mask the effects of other sorts of resolution.",103,613,"Some people have a simple way to solve problems with words. They choose the word that is closest to the main word. This way, they can ignore other problems with words. 

Other people have different ways to solve problems with words. For example, they might choose the word that is in the 3rd person (like ""he"" or ""she"") and plural (like ""they"" instead of ""I""). For these people, the sentence ""Either they or I are going to have to go"" is okay, but not the sentence ""Either am or is going to have to go"". They have a simple way to solve problems, and it hides other problems."
"12 The data are again from Eisenberg. As noted earlier, although we agree with the main point of Eisenberg's squib-that phonological identity can resolve feature conflicts in coordination- we find ourselves in the odd position of rejecting all his examples; they illustrate resolution via neutral forms or principled resolution, not phonological resolution sensu stricto.",54,371,"The data we're looking at comes from Eisenberg. We agree with his main idea that having a similar sound can help solve problems in communication. However, we don't agree with his examples. They show how to solve problems using neutral words or following rules, not using similar sounds."
"Under contrastive Under contrastive prosody, prosody, results from results from quantificational quantificational reading reading of odin  of dva  reconstruction reconstruction of of focused object focused object",28,214,"Here is the rewritten text:

When we talk in a different way, it's because of how we read and understand words. This is especially true when we're talking about things that are focused on one specific thing."
"For this configuration, inverse scope can be derived via reconstruction of the scrambled object, as in (8b) (note that in this case, the subject c-commands the object regardless of whether it stays in its extraposed position or reconstructs to Spec,TP), or via covert QR of the subject to a position in the C-domain, as in (8c).",56,328,"Here's the simplified text:

When we mix up the words, we can figure out the original order by putting the words back together. This is like solving a puzzle. We can also move the subject to a special spot in the sentence, like a secret hiding spot, to make the sentence work."
"to linguistic theory, ed. by Britta Stolterfoht and Sam Featherston, 3–28. Berlin: Mouton de Gruyter. Bott, Oliver, and Fabian Schlotterbeck. 2015. The processing domain of scope interaction. Journal of Seman",30,208,"Here is the rewritten text:

Linguistic theory is important for understanding how we use language. There are many rules to follow when writing about language. 

Oliver Bott and Fabian Schlotterbeck wrote a paper about how our brains process language. They found that when we use certain words, it affects how we understand other words. This is called ""scope interaction""."
"If a SCT+F is structurally ambiguous between a construal on which it violates the CIR — along the lines just discussed in section 2.4 — and one on which it does not, CT marking will eﬀectively disambiguate the sentence towards the latter. A case in point is sentence (21), with CT+F marking as indicated, which can only mean that not all politicians are corrupt. Without CT marking, it can either mean that, or that all politicians are non-corrupt:9",78,449,"If a sentence is confusing because it can be understood in two different ways, adding a special word (CT) can make it clear what the sentence means. For example, sentence (21) can be confusing because it can be read in two ways. With the special word (CT+F), it's clear that not all politicians are corrupt. Without it, the sentence could be read as saying that all politicians are not corrupt, which is a different meaning."
